question_id,question_type,complexity,method,faithfulness,answer_relevance,context_precision,context_recall,correctness,conciseness,uncertainty_score,retrieval_latency_sec,generation_latency_sec,total_latency_sec,context_tokens,answer_tokens,input_tokens,output_tokens,total_tokens,generation_cost_inr,total_cost_inr,has_citations,confidence_level,appropriate_uncertainty,answer_word_count,context_word_count,overall_score
DOE_001,factual,simple,local,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.5,0.891958473,0.7,0.3,94.79940462,1.303833820801656,97.48279572,564,114,644,114,1322,0.014846914,0.014846914,False,medium,False,99,429,0.770279782
DOE_001,factual,simple,global,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.5,0.897633413,0.7,1.0,175.7600338,1.622978549427797,179.8281975,633,141,713,141,1487,0.017235917,0.017235917,True,low,True,118,471,0.871090488
DOE_001,factual,simple,faiss,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.5,0.595668827,0.7,0.3,2.657022476,1.114100981504561,4.703850269,787,123,867,123,1777,0.018342686,0.018342686,False,medium,False,106,527,0.72795269
DOE_002,factual,simple,local,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0,0.910698825,0.7,1.0,44.41909337,1.2189867349768906,46.80285072,400,115,482,115,997,0.012714358,0.012714358,True,low,True,103,323,0.944385546
DOE_002,factual,simple,global,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.5,0.581767116,0.7,0.3,238.4580286,0.7568677926135566,239.5896177,478,66,560,66,1104,0.011121687,0.011121687,False,high,False,62,354,0.725966731
DOE_002,factual,simple,faiss,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0,0.589393885,0.7,0.3,2.038151503,0.744652263618692,3.143860579,784,63,865,63,1712,0.015076364,0.015076364,False,medium,False,58,570,0.798484841
DOE_003,factual,simple,local,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.5,0.626354011,0.7,1.0,38.6242106,2.3975877956230174,48.62082887,681,312,767,312,1760,0.02719685,0.02719685,True,low,True,227,489,0.832336287
DOE_003,factual,simple,global,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.5,0.621807563,0.7,0.3,108.4395349,1.4274478550081582,111.607583,827,192,912,192,1931,0.022675287,0.022675287,False,medium,False,137,608,0.731686795
DOE_003,factual,simple,faiss,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.0,0.608889736,0.7,1.0,2.710167408,1.381998799641685,5.693022013,822,247,907,247,1976,0.025577185,0.025577185,True,low,True,189,556,0.758412819
DOE_004,factual,medium,local,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.5,0.614093233,0.7,1.0,65.24293828,1.254938723822174,67.75056171,604,149,689,149,1442,0.017343895,0.017343895,True,low,True,125,395,0.830584748
